team,handle,name,desc,use
ARI,daniel-guerrero.bsky.social,Daniel Guerrero,Cardinals beat writer for the St. Louis Post-Dispatch. San Diego State and Fullerton College alum. NAHJ member. Disneyland stan. Anaheim born and raised 🍊 🇲🇽,0
ARI,tdrake4sports.bsky.social,Tyler Drake,Arizona Sports Cardinals beat writer/editor | Co-host of Cardinals Corner,1
ARI,theomackie.bsky.social,Theo Mackie,Cardinals beat writer at the Arizona Republic. Michigan alum. DC native.  Email: tmackie@arizonarepublic.com Stories: https://bit.ly/3VgKOkw,1
ARI,gcbellchamber.bsky.social,GC Bellchamber,Cardinals Beat Writer for LastWordonSports Contributor to Blue Man Hoop (Golden State Warriors),1
ARI,pettus.bsky.social,Jayden Pettus,Co-Editor-in-Chief for http://the-standard.org at Missouri State  Former Springfield Cardinals local reporter for http://thecardinalnation.com,1
ARI,kyleodegard.bsky.social,Kyle Odegard,Arizona Cardinals insider • NFL writer • Sports betting guy,1
ATL,marcraimondi.bsky.social,Marc Raimondi,"Atlanta Falcons beat reporter, ESPN  Say Hello to the Bad Guys author, Simon & Schuster",1
ATL,thediaryoff.bsky.social,Fabienne,🏈 Come try to catch me on the sidelines  👩🏻‍💻💬 Head of Communications AFLE  🇩🇪Atlanta Falcons beat reporter 📍040 | 404  ,1
ATL,falcoholickevin.bsky.social,Kevin Knight,#Falcons Reporter at The Falcoholic. Host/Producer  of Falcoholic Live and Dirty Birds & Brews on Bleav Network. NFL Draft analyst. UCF alum. PC/PS5 gamer. Inqu,1
BAL,giana-jade.bsky.social,Giana Han,Ravens beat reporter for The Baltimore Banner | articles fueled by lattes or bad press box coffee,1
BAL,jamisonhensley.bsky.social,Jamison Hensley,ESPN Ravens reporter,1
BAL,kylegoon.bsky.social,Kyle Goon,"Sports columnist at The Baltimore Banner. Covering the Ravens, the Orioles and sports in Maryland.",1
BAL,baltimorememes.bsky.social,Baltimore Memes,"A humorous look at life in Charm City. Covering the Orioles, Ravens, & all things Baltimore, hon.",1
BAL,matt-sidney.bsky.social,Matt Sidney,"Site Expert for FanSided covering the Ravens ebonybird.com & Giants gmenhq.com Villanova Track & Field '15 I like to write, drink beer, and talk sports",1
BUF,joebuscaglia.bsky.social,Joe Buscaglia,Bills beat reporter for The Athletic. Creator of too many spreadsheets. Husband. Dad. (dog)Dad.,1
BUF,mattparrino.bsky.social,Matt Parrino,Bills beat reporter Syracuse.com 🏈 Host of SHOUT! podcast 🎙 | Buffalo Kickoff Live 📺 | UB grad 🤘| Past: @UFC 👊,1
BUF,salsports.bsky.social,Sal Capaccio,Buffalo Bills beat reporter and radio sideline reporter for WGR550.  For inquiries: https://salsportsmedia.com,1
BUF,ryantalbotbills.bsky.social,Ryan Talbot,"Bills beat reporter/writer for NYUP.com and Syracuse.com. Co-host SHOUT! Buffalo Football Podcast. PFWA, husband, dad, St. Bonaventure alum.",1
BUF,thadbrown7.bsky.social,Thad Brown,"Dad. Husband.  Award winning Sports Director, WROC-TV. Co-host, Buffalo Kickoff Live.  Bills beat since 2000.  Clubs always in car  https://www.cameo.com/thadbr",1
BUF,agetzenberg.bsky.social,Alaina Getzenberg,Buffalo Bills reporter for ESPN. Loser of I Got It and meat raffles.,1
BUF,nicksabatognn.bsky.social,Nick Sabato,Sports editor/#Bills reporter for the Niagara Gazette and Lockport Union-Sun & Journal. Co-host of Buffalo Press Box. Email: nick.sabato@gnnewspaper.com ,1
BUF,salmaiorana.bsky.social,Sal Maiorana,I have opinions as you'll see. Four decades covering the Buffalo Bills for the Rochester D&C. Co-Host of the BLEAV in Bills Podcast. Also write a Yankees newsle,1
BUF,llysowski.bsky.social,Lance Lysowski,Reporter covering the Buffalo Bills for The Buffalo News.,1
BUF,jonhelmkamp.bsky.social,Jon Helmkamp,Beat reporter covering the Buffalo Bills and Oregon Ducks for @atozsports.bsky.social | #BillsMafia | #ScoDucks | Oxford comma proponent | Eat more plants | Bre,1
BUF,andyyoungtv.bsky.social,Andy Young,Reporter/multimedia journalist currently covering the Buffalo Bills for Spectrum News 1 NYS. Lucky dad and husband. Email: andrew.young1@charter.com,1
BUF,ianmillstv.bsky.social,Ian Mills,"Sports Reporter at News10NBC in Rochester, NY covering the Buffalo Bills and Section V Athletics.  Threw back-to-back perfect games in MLB the Show.",0
BUF,billsmafia30.bsky.social,John W. Green,"Independent writer covering the Buffalo Bills & NFL. Also, Bills ON SI. 📰🦬🏈 #BillsMafia #NFL Degree: Newspaper/Multimedia JOU from SUNY Plattsburgh. Dad to S.D.",1
BUF,nateinthepaint.bsky.social,Nate Dougherty,Covering the Buffalo Bills for Heavy Sports,1
CAR,mikekayefootball.bsky.social,Mike Kaye - Panthers beat writer,Carolina Panthers reporter for ESPN. mikekayefootball on IG.,1
CAR,sheenaquick.bsky.social,Sheena Quick,"Mom, Panthers Beat Writer, @1340AMFOXSports @PFWAwriters @fsu_track & @wolfpack_TF alum | fmr Halftime Report on @revolttv | FREE AGENT, inquiries: @csetalent",1
CAR,jordanmcpherson.bsky.social,Jordan McPherson,Miami Herald's Miami Hurricanes and Florida Panthers beat writer,0
CAR,colbydguy.pucksandpalms.com,Colby Guy,Florida Panthers beat writer and publisher of PucksAndPalms.com | Stringer for The Palm Beach Post and Associated Press | Florida PHWA Chapter Chair | FAU ‘22 |,0
CAR,abaumgartner91.bsky.social,Alex Baumgartner,Florida Panthers beat writer | PHWA member | TMU Journalism alum,0
CAR,alexzietlow05.bsky.social,Alex Zietlow,Writer covering the Carolina Panthers for @theobserver. Email me at azietlow@charlotteobserver.com. Rock Hill Herald alum. Always a Cole Summer.,1
