"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","draft_year","birthdate","injury_status","injury_details","season_year","week"
"Matthew Stafford","LAR","QB","9431","weighted",258.556075085324,22.4898105803602,2.10853242320819,0.323693468871548,0.715836177474403,0.249123351667446,5.10273037542662,5.20720056478873,0.00726962457337884,0.0148476493494736,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,1988-02-07,NA,NA,NA,NA
"Matthew Stafford","LAR","QB","9431","weighted",258.556075085324,22.4898105803602,2.10853242320819,0.323693468871548,0.715836177474403,0.249123351667446,5.10273037542662,5.20720056478873,0.00726962457337884,0.0148476493494736,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,2003-05-23,NA,NA,NA,NA
"Joe Burrow","CIN","QB","14777","weighted",255.522627986348,13.7391688854125,2.28938566552901,0.346487408384738,0.815324232081911,0.169688910091585,10.787747440273,1.10614447641106,0.0804778156996587,0.057938468459354,0.117007963594994,0.0192466911947088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1996-12-10,NA,NA,NA,NA
"Jared Goff","DET","QB","12611","weighted",253.189931740614,8.3845313000296,2.12703071672355,0.0962440479900278,0.692627986348123,0.216580099629907,5.47307167235495,4.32232691505457,0.0121160409556314,0.0247460822491226,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1994-10-14,NA,NA,NA,NA
"Dak Prescott","DAL","QB","12620","weighted",252.670273037543,8.0860997978741,1.9801023890785,0.161798966285921,0.792491467576792,0.146848522916371,12.8507167235495,3.68602325777997,0.109556313993174,0.103568691266127,0.117007963594994,0.0192466911947088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1993-07-29,NA,NA,NA,NA
"Brock Purdy","SF","QB","15698","weighted",245.550204778157,12.7944347012525,1.63986348122867,0.626108010135035,0.978703071672355,0.119861176502305,18.0516723549488,2.2852542522367,0.163378839590444,0.12661781956611,0.250255972696246,0.0404155906914583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,1999-12-27,NA,NA,NA,NA
"Daniel Jones","IND","QB","14059","weighted",232.748122866894,24.8289282222753,1.42126279863481,0.473645458500232,0.78037542662116,0.153461881142665,12.9986348122867,3.48146677868707,0.182764505119454,0.166255271339644,0.249744027303754,0.0404155906914583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1997-05-27,NA,NA,NA,NA
"Justin Herbert","LAC","QB","14779","weighted",242.598156996587,13.062192442263,2.06887372013652,0.101184450608302,0.688293515358362,0.235355882507822,28.2925255972696,4.85815329094216,0.173071672354949,0.131308048558517,0.158248009101251,0.0416153453382685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-03-10,NA,NA,NA,NA
"Drake Maye","NE","QB","16580","weighted",230.230136518771,19.8740352363773,1.37419795221843,0.432496552301795,0.773105802047782,0.159154198737368,29.3916723549488,2.89239670460052,0.14641638225256,0.102307920761776,0.349744027303754,0.0404155906914583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2002-08-30,NA,NA,NA,NA
"Caleb Williams","CHI","QB","16579","weighted",234.977235494881,8.74824344002026,1.66805460750853,0.542798772396947,0.670819112627986,0.233537599890884,22.8078839590444,4.48687051513509,0.0925938566552901,0.0746339063298148,0.117007963594994,0.0192466911947088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2001-11-18,NA,NA,NA,NA
